代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股)
000300.SH,沪深300,2009/1/5,1848.326,1882.959,1837.839,1882.959,4818702000
000300.SH,沪深300,2009/1/6,1880.672,1948.489,1873.011,1942.795,7097409700
000300.SH,沪深300,2009/1/7,1942.671,1959.246,1930.868,1931.178,5970216700
000300.SH,沪深300,2009/1/8,1894.664,1902.796,1873.648,1887.991,5344649000
000300.SH,沪深300,2009/1/9,1886.488,1923.423,1886.488,1918.365,4740721600
000300.SH,沪深300,2009/1/12,1911.736,1947.083,1905.617,1920.687,5423415600
000300.SH,沪深300,2009/1/13,1892.655,1908.196,1874.974,1876.185,4981813700
000300.SH,沪深300,2009/1/14,1873.626,1955.244,1873.626,1955.244,5928323100
000300.SH,沪深300,2009/1/15,1935.386,1977.191,1930.295,1954.874,7894364800
000300.SH,沪深300,2009/1/16,1965.44,2026.647,1965.44,1990.214,9653863300
000300.SH,沪深300,2009/1/19,2010.579,2052.19,1993.95,2012.465,8194817700
000300.SH,沪深300,2009/1/20,2006.525,2025.19,1986.061,2025.19,5325926200
000300.SH,沪深300,2009/1/21,1993.67,2047.105,1988.241,2021.71,6411742800
000300.SH,沪深300,2009/1/22,2034.286,2048.484,2012.738,2044.551,5886194700
000300.SH,沪深300,2009/1/23,2039.522,2054.326,2025.188,2032.682,5750410900
000300.SH,沪深300,2009/2/2,2052.439,2059.338,2029.717,2057.063,5145390600
000300.SH,沪深300,2009/2/3,2056.795,2108.944,2049.889,2108.91,8764030200
000300.SH,沪深300,2009/2/4,2118.563,2166.414,2117.024,2166.414,10088842800
000300.SH,沪深300,2009/2/5,2164.546,2211.179,2135.67,2150.971,11510012200
000300.SH,沪深300,2009/2/6,2158.084,2240.021,2158.084,2237.28,10666490400
000300.SH,沪深300,2009/2/9,2271.593,2307.907,2257.49,2296.672,12952367000
000300.SH,沪深300,2009/2/10,2288.071,2327.1,2263.532,2326.755,11629454800
000300.SH,沪深300,2009/2/11,2287.232,2381.193,2275.574,2331.138,14757663700
000300.SH,沪深300,2009/2/12,2335.401,2344.659,2248.484,2318.343,11982621800
000300.SH,沪深300,2009/2/13,2321.56,2402.436,2307.09,2399.065,14040991000
000300.SH,沪深300,2009/2/16,2421.187,2462.389,2397.181,2462.245,15234666900
000300.SH,沪深300,2009/2/17,2460.569,2470.623,2384.787,2385.293,14101499100
000300.SH,沪深300,2009/2/18,2331.662,2369.053,2272.505,2275.843,11542206200
000300.SH,沪深300,2009/2/19,2295.653,2324.675,2259.593,2298.412,9085392800
000300.SH,沪深300,2009/2/20,2300.806,2344.77,2276.298,2344.32,8663206900
000300.SH,沪深300,2009/2/23,2333.809,2419.533,2307.921,2410.481,10946540300
000300.SH,沪深300,2009/2/24,2376.697,2411.906,2294.522,2301.849,12701755500
000300.SH,沪深300,2009/2/25,2325.039,2337.423,2226.444,2304.251,10787752800
000300.SH,沪深300,2009/2/26,2295.426,2332.346,2167.149,2190.185,10220038500
