代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),
600030.SH,中信证券,2017-01-03,15.752,15.899,15.7128,15.8598,62306948,
600030.SH,中信证券,2017-01-04,15.85,15.9382,15.801,15.8892,51671772,
600030.SH,中信证券,2017-01-05,15.9088,15.9284,15.7912,15.8206,47862289,
600030.SH,中信证券,2017-01-06,15.8402,15.8402,15.6639,15.6835,51664011,
600030.SH,中信证券,2017-01-09,15.6835,15.7912,15.6443,15.7422,39840735,
600030.SH,中信证券,2017-01-10,15.703,15.8794,15.6933,15.7814,45401866,
600030.SH,中信证券,2017-01-11,15.8108,15.9088,15.7716,15.7716,39877610,
600030.SH,中信证券,2017-01-12,15.7814,15.948,15.7618,15.8206,55959482,
600030.SH,中信证券,2017-01-13,15.8108,16.0165,15.6933,15.8794,82520818,
600030.SH,中信证券,2017-01-16,15.85,16.0949,15.6933,16.0263,172090679,
600030.SH,中信证券,2017-01-17,15.9284,15.9871,15.7912,15.9284,45559832,
600030.SH,中信证券,2017-01-18,15.8794,16.0949,15.85,15.9382,48046708,
600030.SH,中信证券,2017-01-19,15.899,16.0557,15.899,15.9382,39838794,
600030.SH,中信证券,2017-01-20,15.948,16.0949,15.9186,16.0753,63159672,
600030.SH,中信证券,2017-01-23,16.0655,16.2516,16.0655,16.1047,47498745,
600030.SH,中信证券,2017-01-24,16.1243,16.1243,16.0165,16.0459,40238033,
600030.SH,中信证券,2017-01-25,16.0459,16.0557,15.9871,16.0557,32219153,
600030.SH,中信证券,2017-01-26,16.0949,16.2222,16.0949,16.1439,46823371,
600030.SH,中信证券,2017-02-03,16.2124,16.2124,16.0263,16.0361,27282298,
600030.SH,中信证券,2017-02-06,16.0753,16.0949,15.9284,16.0067,44795827,
600030.SH,中信证券,2017-02-07,15.9969,16.0263,15.9088,15.9675,31790936,
600030.SH,中信证券,2017-02-08,15.9577,16.2614,15.8598,16.1831,80007811,
600030.SH,中信证券,2017-02-09,16.1341,16.3202,16.1145,16.1733,64766663,
600030.SH,中信证券,2017-02-10,16.1733,16.4182,16.1733,16.33,80278442,
600030.SH,中信证券,2017-02-13,16.3496,16.4867,16.3104,16.3496,74956790,
600030.SH,中信证券,2017-02-14,16.4084,16.4671,16.232,16.3006,60529946,
600030.SH,中信证券,2017-02-15,16.2908,16.428,16.1929,16.2222,60140353,
600030.SH,中信证券,2017-02-16,16.2222,16.3986,16.1733,16.379,66838949,
600030.SH,中信证券,2017-02-17,16.428,16.7316,16.281,16.33,121073121,
600030.SH,中信证券,2017-02-20,16.33,16.5749,16.2418,16.5357,94261932,
600030.SH,中信证券,2017-02-21,16.5357,16.7512,16.4867,16.5651,89535428,
600030.SH,中信证券,2017-02-22,16.5357,16.5847,16.3692,16.4573,61725349,
600030.SH,中信证券,2017-02-23,16.4573,16.4671,16.281,16.3202,54082440,
600030.SH,中信证券,2017-02-24,16.33,16.3888,16.2516,16.3692,51481022,
600030.SH,中信证券,2017-02-27,16.3104,16.379,16.1635,16.2026,60497117,
600030.SH,中信证券,2017-02-28,16.1831,16.2614,16.1537,16.2124,33324703,
600030.SH,中信证券,2017-03-01,16.2124,16.3202,16.1831,16.2026,40324254,
600030.SH,中信证券,2017-03-02,16.2712,16.428,16.1145,16.1243,63644825,
600030.SH,中信证券,2017-03-03,16.0949,16.1145,15.9577,16.0361,56690939,
600030.SH,中信证券,2017-03-06,16.0067,16.1047,15.9773,16.0949,38429348,
600030.SH,中信证券,2017-03-07,16.0753,16.1341,16.0165,16.1145,42030758,
600030.SH,中信证券,2017-03-08,16.1047,16.1047,15.9969,16.0361,33280627,
600030.SH,中信证券,2017-03-09,16.0165,16.0459,15.8892,15.9969,48945646,
600030.SH,中信证券,2017-03-10,15.9773,16.0263,15.899,15.9088,24907768,
600030.SH,中信证券,2017-03-13,15.9088,16.0165,15.7912,16.0067,47268572,
600030.SH,中信证券,2017-03-14,16.0067,16.0753,15.9773,16.0361,34460568,
600030.SH,中信证券,2017-03-15,16.0263,16.0361,15.9284,15.9675,37111807,
600030.SH,中信证券,2017-03-16,16.0263,16.2614,16.0165,16.2418,96128252,
600030.SH,中信证券,2017-03-17,16.2516,16.3006,15.9675,15.9773,62631441,
600030.SH,中信证券,2017-03-20,16.0263,16.0263,15.8892,15.9675,47066225,
600030.SH,中信证券,2017-03-21,15.9675,16.0067,15.85,15.8892,50697241,
600030.SH,中信证券,2017-03-22,15.8206,15.8696,15.703,15.7422,58682799,
600030.SH,中信证券,2017-03-23,15.7422,15.8696,15.7226,15.8206,45538968,
600030.SH,中信证券,2017-03-24,15.801,16.0361,15.7324,15.9577,74546641,
600030.SH,中信证券,2017-03-27,15.9284,16.0557,15.899,15.9284,42286651,
600030.SH,中信证券,2017-03-28,15.9675,15.9969,15.8402,15.8598,30903378,
600030.SH,中信证券,2017-03-29,15.899,15.9186,15.7912,15.8108,36554081,
600030.SH,中信证券,2017-03-30,15.801,15.8598,15.6639,15.7422,70522577,
600030.SH,中信证券,2017-03-31,15.7422,15.8108,15.6737,15.7814,38650423,
600030.SH,中信证券,2017-04-05,15.801,15.9969,15.7912,15.9577,57809522,
600030.SH,中信证券,2017-04-06,15.9577,15.9871,15.8892,15.9088,45085730,
600030.SH,中信证券,2017-04-07,15.9186,15.9871,15.8402,15.948,48625806,
600030.SH,中信证券,2017-04-10,15.9382,16.0459,15.8892,15.9088,46388408,
600030.SH,中信证券,2017-04-11,15.9284,15.9577,15.7324,15.9382,55900184,
600030.SH,中信证券,2017-04-12,15.9675,16.1537,15.9088,16.0361,94787162,
600030.SH,中信证券,2017-04-13,15.9675,16.0165,15.9088,15.9577,37720783,
600030.SH,中信证券,2017-04-14,15.948,15.9773,15.7618,15.85,59255956,
600030.SH,中信证券,2017-04-17,15.7814,15.899,15.6933,15.85,40787009,
600030.SH,中信证券,2017-04-18,15.801,15.8794,15.6933,15.703,34323930,
600030.SH,中信证券,2017-04-19,15.6835,15.7324,15.5365,15.7226,59929605,
600030.SH,中信证券,2017-04-20,15.7324,15.7814,15.6247,15.7716,38438790,
600030.SH,中信证券,2017-04-21,15.752,15.9284,15.7128,15.9186,46651847,
600030.SH,中信证券,2017-04-24,15.8696,16.0067,15.7128,15.9675,83536193,
600030.SH,中信证券,2017-04-25,15.8696,15.9186,15.7814,15.7912,36791115,
600030.SH,中信证券,2017-04-26,15.801,16.0067,15.7226,15.8696,53165455,
600030.SH,中信证券,2017-04-27,15.8598,15.9186,15.7716,15.899,42792544,
600030.SH,中信证券,2017-04-28,15.899,15.9577,15.8206,15.899,37879942,
600030.SH,中信证券,2017-05-02,15.9186,15.9284,15.7618,15.7814,32206805,
600030.SH,中信证券,2017-05-03,15.801,15.85,15.6639,15.7226,35587941,
600030.SH,中信证券,2017-05-04,15.6835,15.8304,15.6835,15.7324,34797443,
600030.SH,中信证券,2017-05-05,15.7324,15.7618,15.223,15.4581,138984946,
600030.SH,中信证券,2017-05-08,15.3014,15.4875,15.1643,15.3406,59688974,
600030.SH,中信证券,2017-05-09,15.3406,15.3896,15.2622,15.2818,27001617,
600030.SH,中信证券,2017-05-10,15.2916,15.3308,15.1545,15.1643,31289812,
600030.SH,中信证券,2017-05-11,15.1349,15.2916,14.939,15.2035,57157388,
600030.SH,中信证券,2017-05-12,15.1839,15.419,15.1643,15.3308,47326279,
600030.SH,中信证券,2017-05-15,15.3504,15.6541,15.3504,15.4875,64551979,
600030.SH,中信证券,2017-05-16,15.5071,15.5561,15.3798,15.5169,35346866,
600030.SH,中信证券,2017-05-17,15.5169,15.7128,15.4973,15.5169,45971425,
600030.SH,中信证券,2017-05-18,15.4581,15.5365,15.3602,15.3602,40548958,
600030.SH,中信证券,2017-05-19,15.3504,15.4581,15.3504,15.3896,25183321,
600030.SH,中信证券,2017-05-22,15.3896,15.4092,15.1741,15.2328,34428764,
600030.SH,中信证券,2017-05-23,15.2035,15.5169,15.1643,15.4092,56519351,
600030.SH,中信证券,2017-05-24,15.37,15.4973,15.3112,15.4679,36432544,
600030.SH,中信证券,2017-05-25,15.3308,16.1145,15.3308,16.0753,165936033,
600030.SH,中信证券,2017-05-26,15.9675,16.3398,15.9577,16.0557,120919573,
600030.SH,中信证券,2017-05-31,16.1831,16.4182,15.948,16.1047,79927882,
600030.SH,中信证券,2017-06-01,16.0851,16.232,16.0165,16.0361,58340737,
600030.SH,中信证券,2017-06-02,16.0459,16.2124,15.9969,16.0459,54782136,
600030.SH,中信证券,2017-06-05,16.0263,16.0851,15.8304,15.8794,47757300,
600030.SH,中信证券,2017-06-06,15.8892,15.9871,15.801,15.9186,33921310,
600030.SH,中信证券,2017-06-07,15.9284,16.1439,15.899,16.0361,79532249,
600030.SH,中信证券,2017-06-08,16.0655,16.1439,15.9871,16.1047,56454044,
600030.SH,中信证券,2017-06-09,16.1341,16.4084,16.0949,16.232,116057507,
600030.SH,中信证券,2017-06-12,16.1733,16.3888,15.9675,16.0949,87459398,
600030.SH,中信证券,2017-06-13,16.0655,16.1733,15.9773,16.0851,41921274,
600030.SH,中信证券,2017-06-14,16.1145,16.1145,15.9577,16.0165,41949503,
600030.SH,中信证券,2017-06-15,16.0361,16.2026,15.9871,16.1243,48097038,
600030.SH,中信证券,2017-06-16,16.1145,16.2222,15.9577,15.9773,38715785,
600030.SH,中信证券,2017-06-19,15.9284,16.379,15.9186,16.3692,109275035,
600030.SH,中信证券,2017-06-20,16.3594,16.428,16.2418,16.3398,63026965,
600030.SH,中信证券,2017-06-21,16.5455,16.81,16.3398,16.428,113568198,
600030.SH,中信证券,2017-06-22,16.3692,16.8296,16.33,16.5553,167313182,
600030.SH,中信证券,2017-06-23,16.5259,16.6043,16.3692,16.5945,92670429,
600030.SH,中信证券,2017-06-26,16.5945,17.0549,16.5553,16.908,211319532,
600030.SH,中信证券,2017-06-27,16.8982,16.9276,16.712,16.761,92402416,
600030.SH,中信证券,2017-06-28,16.7316,16.9178,16.6631,16.7414,87105025,
600030.SH,中信证券,2017-06-29,16.7316,16.8394,16.6337,16.7414,66834132,
600030.SH,中信证券,2017-06-30,16.6729,16.761,16.4769,16.6729,75109183,
600030.SH,中信证券,2017-07-03,16.6533,16.7022,16.4378,16.5651,68085732,
600030.SH,中信证券,2017-07-04,16.5455,16.5455,16.3398,16.3888,72789645,
600030.SH,中信证券,2017-07-05,16.4084,16.5455,16.3594,16.5259,59509848,
600030.SH,中信证券,2017-07-06,16.5553,16.5847,16.3104,16.3888,86394887,
600030.SH,中信证券,2017-07-07,16.3398,16.7022,16.2614,16.6043,89463500,
600030.SH,中信证券,2017-07-10,16.5847,16.8786,16.5651,16.6631,110150632,
600030.SH,中信证券,2017-07-11,16.6729,17.0745,16.6729,16.81,177339339,
600030.SH,中信证券,2017-07-12,16.859,17.0451,16.761,16.8786,127145571,
600030.SH,中信证券,2017-07-13,16.9178,17.1725,16.8198,17.1333,161718805,
600030.SH,中信证券,2017-07-14,17.1137,17.1627,16.9471,17.0255,93832087,
600030.SH,中信证券,2017-07-17,16.9667,17.0941,16.6239,16.6533,152617730,
600030.SH,中信证券,2017-07-18,16.6043,16.6631,16.3006,16.4769,105104549,
600030.SH,中信证券,2017-07-19,16.4475,17.4369,16.3888,17.4174,272582233,
600030.SH,中信证券,2017-07-20,17.339,17.4663,17.1039,17.2508,157124317,
600030.SH,中信证券,2017-07-21,17.1627,17.3292,17.0843,17.1627,93440158,
600030.SH,中信证券,2017-07-24,17.1333,17.3292,17.1039,17.1529,96775657,
600030.SH,中信证券,2017-07-25,17.192,17.2508,16.9863,17.0647,84413028,
600030.SH,中信证券,2017-07-26,17.0941,17.2116,16.9961,17.1529,95855787,
600030.SH,中信证券,2017-07-27,17.1333,17.2018,16.859,17.0745,113905840,
600030.SH,中信证券,2017-07-28,17.0353,17.0451,16.8982,16.9276,53460966,
600030.SH,中信证券,2017-07-31,16.9178,17.1235,16.859,16.9961,85992328,
600030.SH,中信证券,2017-08-01,17.0255,17.29,17.0059,17.2018,123758130,
600030.SH,中信证券,2017-08-02,17.2312,17.4859,17.1235,17.29,176661680,
600030.SH,中信证券,2017-08-03,17.241,17.4076,17.1137,17.1431,103497873,
600030.SH,中信证券,2017-08-04,17.1235,17.4957,17.0255,17.2018,143101262,
600030.SH,中信证券,2017-08-07,17.1039,17.1529,16.9178,16.9569,97643027,
600030.SH,中信证券,2017-08-08,16.9667,17.1627,16.7806,16.9863,104649107,
600030.SH,中信证券,2017-08-09,16.9471,16.9471,16.7218,16.7806,83373544,
600030.SH,中信证券,2017-08-10,16.7512,16.8982,16.6141,16.8688,102498295,
600030.SH,中信证券,2017-08-11,16.7512,16.7806,16.5063,16.5259,89962795,
600030.SH,中信证券,2017-08-14,16.5749,16.7512,16.4182,16.7022,72137000,
600030.SH,中信证券,2017-08-15,16.7022,16.8002,16.6043,16.6729,48960193,
600030.SH,中信证券,2017-08-16,16.6533,16.7904,16.5553,16.7316,46020655,
600030.SH,中信证券,2017-08-17,16.7316,16.8296,16.6827,16.81,64464355,
600030.SH,中信证券,2017-08-18,16.84,16.84,16.68,16.7,48475871,
600030.SH,中信证券,2017-08-21,16.7,16.82,16.63,16.81,58605862,
600030.SH,中信证券,2017-08-22,16.79,16.87,16.7,16.77,47477099,
600030.SH,中信证券,2017-08-23,16.76,17.08,16.73,16.91,65532801,
600030.SH,中信证券,2017-08-24,16.89,16.93,16.64,16.65,53089226,
600030.SH,中信证券,2017-08-25,16.64,17.15,16.6,17.14,156474402,
600030.SH,中信证券,2017-08-28,17.31,18.5,17.27,18.2,398850720,
