代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股)
H11008.CSI,中证企业债,2009/1/5,181.678,181.678,181.678,181.678,2378121890
H11008.CSI,中证企业债,2009/1/6,181.762,181.762,181.762,181.762,1804179440
H11008.CSI,中证企业债,2009/1/7,181.37,181.37,181.37,181.37,1542169540
H11008.CSI,中证企业债,2009/1/8,183.036,183.036,183.036,183.036,1596171770
H11008.CSI,中证企业债,2009/1/9,184.604,184.604,184.604,184.604,1997690680
H11008.CSI,中证企业债,2009/1/12,184.814,184.814,184.814,184.814,1497389340
H11008.CSI,中证企业债,2009/1/13,183.05,183.05,183.05,183.05,1407925340
H11008.CSI,中证企业债,2009/1/14,183.554,183.554,183.554,183.554,1285854990
H11008.CSI,中证企业债,2009/1/15,183.736,183.736,183.736,183.736,1375155940
H11008.CSI,中证企业债,2009/1/16,183.008,183.008,183.008,183.008,1145311240
H11008.CSI,中证企业债,2009/1/19,183.526,183.526,183.526,183.526,1080384330
H11008.CSI,中证企业债,2009/1/20,182.756,182.756,182.756,182.756,718185560
H11008.CSI,中证企业债,2009/1/21,182.966,182.966,182.966,182.966,827655610
H11008.CSI,中证企业债,2009/1/22,183.078,183.078,183.078,183.078,472094480
H11008.CSI,中证企业债,2009/1/23,183.61,183.61,183.61,183.61,75528810
H11008.CSI,中证企业债,2009/2/2,183.428,183.428,183.428,183.428,673796520
H11008.CSI,中证企业债,2009/2/3,183.512,183.512,183.512,183.512,1274550180
H11008.CSI,中证企业债,2009/2/4,183.064,183.064,183.064,183.064,1707680400
H11008.CSI,中证企业债,2009/2/5,182.504,182.504,182.504,182.504,1552734810
H11008.CSI,中证企业债,2009/2/6,183.302,183.302,183.302,183.302,1153188270
H11008.CSI,中证企业债,2009/2/9,183.806,183.806,183.806,183.806,1207924100
H11008.CSI,中证企业债,2009/2/10,183.61,183.61,183.61,183.61,1339420350
H11008.CSI,中证企业债,2009/2/11,183.694,183.694,183.694,183.694,1127659450
H11008.CSI,中证企业债,2009/2/12,184.268,184.268,184.268,184.268,1491884700
H11008.CSI,中证企业债,2009/2/13,184.03,184.03,184.03,184.03,1261222120
H11008.CSI,中证企业债,2009/2/16,184.576,184.576,184.576,184.576,1354938440
H11008.CSI,中证企业债,2009/2/17,184.254,184.254,184.254,184.254,1633580730
H11008.CSI,中证企业债,2009/2/18,184.282,184.282,184.282,184.282,1376996520
H11008.CSI,中证企业债,2009/2/19,184.268,184.268,184.268,184.268,1403537200
H11008.CSI,中证企业债,2009/2/20,184.814,184.814,184.814,184.814,1369034470
H11008.CSI,中证企业债,2009/2/23,185.332,185.332,185.332,185.332,936246820
H11008.CSI,中证企业债,2009/2/24,184.828,184.828,184.828,184.828,1369307550
H11008.CSI,中证企业债,2009/2/25,185.584,185.584,185.584,185.584,1524528200
H11008.CSI,中证企业债,2009/2/26,184.716,184.716,184.716,184.716,904744500
H11008.CSI,中证企业债,2009/2/27,182.406,182.406,182.406,182.406,1107093190
H11008.CSI,中证企业债,2009/3/2,185.976,185.976,185.976,185.976,1116604720
H11008.CSI,中证企业债,2009/3/3,185.304,185.304,185.304,185.304,1784130920
H11008.CSI,中证企业债,2009/3/4,184.044,184.044,184.044,184.044,1419568420
H11008.CSI,中证企业债,2009/3/5,184.45,184.45,184.45,184.45,1097557590
H11008.CSI,中证企业债,2009/3/6,184.8,184.8,184.8,184.8,1002832650
H11008.CSI,中证企业债,2009/3/9,184.338,184.338,184.338,184.338,1487240230
H11008.CSI,中证企业债,2009/3/10,184.324,184.324,184.324,184.324,1178909280
H11008.CSI,中证企业债,2009/3/11,184.478,184.478,184.478,184.478,1943797650
H11008.CSI,中证企业债,2009/3/12,184.772,184.772,184.772,184.772,1826029720
H11008.CSI,中证企业债,2009/3/13,184.38,184.38,184.38,184.38,1573714190
H11008.CSI,中证企业债,2009/3/16,185.332,185.332,185.332,185.332,1553079740
H11008.CSI,中证企业债,2009/3/17,185.248,185.248,185.248,185.248,1591561940
H11008.CSI,中证企业债,2009/3/18,185.388,185.388,185.388,185.388,1838357110
H11008.CSI,中证企业债,2009/3/19,185.486,185.486,185.486,185.486,1535089500
H11008.CSI,中证企业债,2009/3/20,183.96,183.96,183.96,183.96,1727549820
H11008.CSI,中证企业债,2009/3/23,184.632,184.632,184.632,184.632,1588012370
H11008.CSI,中证企业债,2009/3/24,184.73,184.73,184.73,184.73,2062728560
H11008.CSI,中证企业债,2009/3/25,183.82,183.82,183.82,183.82,2720818160
H11008.CSI,中证企业债,2009/3/26,181.846,181.846,181.846,181.846,1431251750
H11008.CSI,中证企业债,2009/3/27,181.93,181.93,181.93,181.93,1512921500
H11008.CSI,中证企业债,2009/3/30,183.12,183.12,183.12,183.12,1520119660
H11008.CSI,中证企业债,2009/3/31,182.98,182.98,182.98,182.98,1665723520
H11008.CSI,中证企业债,2009/4/1,183.022,183.022,183.022,183.022,1804360930
H11008.CSI,中证企业债,2009/4/2,183.96,183.96,183.96,183.96,2610078450
H11008.CSI,中证企业债,2009/4/3,183.4,183.4,183.4,183.4,2102082510
H11008.CSI,中证企业债,2009/4/7,183.946,183.946,183.946,183.946,2916120450
H11008.CSI,中证企业债,2009/4/8,181.986,181.986,181.986,181.986,1969936570
H11008.CSI,中证企业债,2009/4/9,182.154,182.154,182.154,182.154,2445704620
H11008.CSI,中证企业债,2009/4/10,182.308,182.308,182.308,182.308,1806876860
H11008.CSI,中证企业债,2009/4/13,184.59,184.59,184.59,184.59,1790092000
H11008.CSI,中证企业债,2009/4/14,182,182,182,182,1665487930
H11008.CSI,中证企业债,2009/4/15,181.678,181.678,181.678,181.678,2359842000
H11008.CSI,中证企业债,2009/4/16,182.196,182.196,182.196,182.196,2311121410
H11008.CSI,中证企业债,2009/4/17,182.28,182.28,182.28,182.28,1940223680
H11008.CSI,中证企业债,2009/4/20,182.252,182.252,182.252,182.252,1739794510
H11008.CSI,中证企业债,2009/4/21,183.974,183.974,183.974,183.974,1971777340
H11008.CSI,中证企业债,2009/4/22,183.904,183.904,183.904,183.904,1855065320
H11008.CSI,中证企业债,2009/4/23,183.414,183.414,183.414,183.414,1737759030
H11008.CSI,中证企业债,2009/4/24,183.582,183.582,183.582,183.582,2269918390
H11008.CSI,中证企业债,2009/4/27,183.484,183.484,183.484,183.484,1964029600
H11008.CSI,中证企业债,2009/4/28,183.344,183.344,183.344,183.344,1955445410
H11008.CSI,中证企业债,2009/4/29,183.638,183.638,183.638,183.638,2194606090
H11008.CSI,中证企业债,2009/4/30,182.028,182.028,182.028,182.028,1935973470
H11008.CSI,中证企业债,2009/5/4,183.372,183.372,183.372,183.372,2902677010
H11008.CSI,中证企业债,2009/5/5,183.274,183.274,183.274,183.274,2687314470
H11008.CSI,中证企业债,2009/5/6,182.728,182.728,182.728,182.728,3043014470
H11008.CSI,中证企业债,2009/5/7,183.708,183.708,183.708,183.708,2823010650
H11008.CSI,中证企业债,2009/5/8,182.49,182.49,182.49,182.49,2592377230
H11008.CSI,中证企业债,2009/5/11,183.162,183.162,183.162,183.162,2518001310
H11008.CSI,中证企业债,2009/5/12,182.532,182.532,182.532,182.532,2642414440
H11008.CSI,中证企业债,2009/5/13,183.26,183.26,183.26,183.26,2951631660
H11008.CSI,中证企业债,2009/5/14,182.798,182.798,182.798,182.798,2507335820
H11008.CSI,中证企业债,2009/5/15,183.008,183.008,183.008,183.008,2544488290
H11008.CSI,中证企业债,2009/5/18,182.7,182.7,182.7,182.7,2803178050
H11008.CSI,中证企业债,2009/5/19,183.526,183.526,183.526,183.526,2662775160
H11008.CSI,中证企业债,2009/5/20,183.554,183.554,183.554,183.554,2603931100
H11008.CSI,中证企业债,2009/5/21,183.862,183.862,183.862,183.862,2849572000
H11008.CSI,中证企业债,2009/5/22,183.232,183.232,183.232,183.232,2465662980
H11008.CSI,中证企业债,2009/5/25,183.26,183.26,183.26,183.26,2827214860
H11008.CSI,中证企业债,2009/5/26,183.232,183.232,183.232,183.232,2356836410
