代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股)
NH0100.NHF,南华商品指数,2009/1/5,910.0781,910.9634,903.4992,908.6223,5275418
NH0100.NHF,南华商品指数,2009/1/6,916.7396,938.5287,910.0899,935.6748,6186010
NH0100.NHF,南华商品指数,2009/1/7,931.9432,940.432,926.1145,938.7079,7277946
NH0100.NHF,南华商品指数,2009/1/8,920.9518,933.8668,914.5446,923.318,5623555
NH0100.NHF,南华商品指数,2009/1/9,926.5846,946.5861,926.5846,943.6233,5348579
NH0100.NHF,南华商品指数,2009/1/12,949.2092,963.749,949.2092,954.893,7454256
NH0100.NHF,南华商品指数,2009/1/13,925.0462,940.5425,924.1845,928.8248,6692788
NH0100.NHF,南华商品指数,2009/1/14,944.4628,957.8521,942.2012,956.9886,6363058
NH0100.NHF,南华商品指数,2009/1/15,946.1955,949.2859,939.8555,942.0633,5627332
NH0100.NHF,南华商品指数,2009/1/16,952.6238,963.5349,949.6439,958.1233,5248230
NH0100.NHF,南华商品指数,2009/1/19,961.5491,965.0771,956.9451,960.3293,4734088
NH0100.NHF,南华商品指数,2009/1/20,957.5853,959.6668,947.3375,953.9808,4555632
NH0100.NHF,南华商品指数,2009/1/21,947.9608,951.0576,945.0734,946.2071,4287664
NH0100.NHF,南华商品指数,2009/1/22,946.1032,947.3451,928.2095,937.9421,3300994
NH0100.NHF,南华商品指数,2009/1/23,929.445,939.134,924.815,939.134,3267998
NH0100.NHF,南华商品指数,2009/2/2,935.4801,936.1064,930.3366,932.2355,3288460
NH0100.NHF,南华商品指数,2009/2/3,933.028,958.1275,933.028,957.0488,3571762
NH0100.NHF,南华商品指数,2009/2/4,961.4454,973.9946,960.6908,967.3047,4746278
NH0100.NHF,南华商品指数,2009/2/5,968.0868,974.3964,964.2935,964.2935,5655774
NH0100.NHF,南华商品指数,2009/2/6,967.6899,990.8022,967.6899,987.8181,5754804
NH0100.NHF,南华商品指数,2009/2/9,994.6746,1009.3351,994.6746,1006.9423,5489240
NH0100.NHF,南华商品指数,2009/2/10,1002.688,1006.4947,996.078,1005.0571,5834496
NH0100.NHF,南华商品指数,2009/2/11,989.724,997.5323,972.5077,978.0183,5944726
NH0100.NHF,南华商品指数,2009/2/12,982.3551,989.3723,976.0837,988.4442,5622656
NH0100.NHF,南华商品指数,2009/2/13,989.4285,996.5205,989.4285,994.1304,5983128
NH0100.NHF,南华商品指数,2009/2/16,990.7402,993.2113,974.5284,975.6566,6433994
NH0100.NHF,南华商品指数,2009/2/17,975.7271,989.3473,972.0374,981.6666,6262522
NH0100.NHF,南华商品指数,2009/2/18,959.5462,962.5641,947.0707,953.4211,7203168
NH0100.NHF,南华商品指数,2009/2/19,958.3746,962.4521,944.7191,948.7009,5896154
NH0100.NHF,南华商品指数,2009/2/20,952.0569,960.5122,950.7509,951.8685,5932836
NH0100.NHF,南华商品指数,2009/2/23,947.4715,970.6406,946.8727,969.7542,6549032
NH0100.NHF,南华商品指数,2009/2/24,959.2996,962.8609,949.0761,954.4867,6435820
NH0100.NHF,南华商品指数,2009/2/25,974.9067,976.7109,966.6284,967.5412,5118462
NH0100.NHF,南华商品指数,2009/2/26,976.0005,980.9853,971.1352,971.4992,7020252
