代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),,,,,
,,2009/1/5,190.04,190.04,190.04,190.04,100000000,,,,,
,,2009/1/6,185.54,185.54,185.54,185.54,100000000,,,,,
,,2009/1/7,187.31,187.31,187.31,187.31,100000000,,,,,
,,2009/1/8,184.49,184.49,184.49,184.49,100000000,,,,,
,,2009/1/9,186.33,186.33,186.33,186.33,100000000,,,,,
,,2009/1/12,186.05,186.05,186.05,186.05,100000000,,,,,
,,2009/1/13,180.04,180.04,180.04,180.04,100000000,,,,,
,,2009/1/14,180.29,180.29,180.29,180.29,100000000,,,,,
,,2009/1/15,177.21,177.21,177.21,177.21,100000000,,,,,
,,2009/1/16,179.74,179.74,179.74,179.74,100000000,,,,,
,,2009/1/19,183.86,183.86,183.86,183.86,100000000,,,,,
,,2009/1/20,181.65,181.65,181.65,181.65,100000000,,,,,
,,2009/1/21,186.32,186.32,186.32,186.32,100000000,,,,,
,,2009/1/22,186.74,186.74,186.74,186.74,100000000,,,,,
,,2009/1/23,187.07,187.07,187.07,187.07,100000000,,,,,
,,2009/2/2,199.75,199.75,199.75,199.75,100000000,,,,,
,,2009/2/3,197.65,197.65,197.65,197.65,100000000,,,,,
,,2009/2/4,197.05,197.05,197.05,197.05,100000000,,,,,
,,2009/2/5,198.21,198.21,198.21,198.21,100000000,,,,,
,,2009/2/6,199.89,199.89,199.89,199.89,100000000,,,,,
,,2009/2/9,198.21,198.21,198.21,198.21,100000000,,,,,
,,2009/2/10,196.46,196.46,196.46,196.46,100000000,,,,,
,,2009/2/11,199.96,199.96,199.96,199.96,100000000,,,,,
,,2009/2/12,205.2,205.2,205.2,205.2,100000000,,,,,
,,2009/2/13,205.71,205.71,205.71,205.71,100000000,,,,,
,,2009/2/16,205.27,205.27,205.27,205.27,100000000,,,,,
,,2009/2/17,209.21,209.21,209.21,209.21,100000000,,,,,
,,2009/2/18,212.84,212.84,212.84,212.84,100000000,,,,,
,,2009/2/19,214.46,214.46,214.46,214.46,100000000,,,,,
,,2009/2/20,213.52,213.52,213.52,213.52,100000000,,,,,
,,2009/2/23,216.87,216.87,216.87,216.87,100000000,,,,,
,,2009/2/24,216.46,216.46,216.46,216.46,100000000,,,,,
,,2009/2/25,210.8,210.8,210.8,210.8,100000000,,,,,
,,2009/2/26,208.1,208.1,208.1,208.1,100000000,,,,,
,,2009/2/27,206.64,206.64,206.64,206.64,100000000,,,,,
,,2009/3/2,208.87,208.87,208.87,208.87,100000000,,,,,
,,2009/3/3,204.12,204.12,204.12,204.12,100000000,,,,,
,,2009/3/4,201.17,201.17,201.17,201.17,100000000,,,,,
,,2009/3/5,201.85,201.85,201.85,201.85,100000000,,,,,
,,2009/3/6,206.35,206.35,206.35,206.35,100000000,,,,,
,,2009/3/9,206.59,206.59,206.59,206.59,100000000,,,,,
,,2009/3/10,202.03,202.03,202.03,202.03,100000000,,,,,
,,2009/3/11,197.48,197.48,197.48,197.48,100000000,,,,,
,,2009/3/12,201.09,201.09,201.09,201.09,100000000,,,,,
,,2009/3/13,203.18,203.18,203.18,203.18,100000000,,,,,
,,2009/3/16,203.8,203.8,203.8,203.8,100000000,,,,,
,,2009/3/17,202.7,202.7,202.7,202.7,100000000,,,,,
,,2009/3/18,200.64,200.64,200.64,200.64,100000000,,,,,
,,2009/3/19,204.45,204.45,204.45,204.45,100000000,,,,,
,,2009/3/20,209.84,209.84,209.84,209.84,100000000,,,,,
,,2009/3/23,210.43,210.43,210.43,210.43,100000000,,,,,
,,2009/3/24,207.64,207.64,207.64,207.64,100000000,,,,,
,,2009/3/25,204.7,204.7,204.7,204.7,100000000,,,,,
,,2009/3/26,205.97,205.97,205.97,205.97,100000000,,,,,
,,2009/3/27,205.51,205.51,205.51,205.51,100000000,,,,,
,,2009/3/30,203.51,203.51,203.51,203.51,100000000,,,,,
,,2009/3/31,202.22,202.22,202.22,202.22,100000000,,,,,
,,2009/4/1,202.57,202.57,202.57,202.57,100000000,,,,,
