代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),,,,,
,,2009/1/5,333.7,333.7,333.7,333.7,100000000,,,,,
,,2009/1/6,332.21,332.21,332.21,332.21,100000000,,,,,
,,2009/1/7,291.54,291.54,291.54,291.54,100000000,,,,,
,,2009/1/8,285.12,285.12,285.12,285.12,100000000,,,,,
,,2009/1/9,279.13,279.13,279.13,279.13,100000000,,,,,
,,2009/1/12,257.05,257.05,257.05,257.05,100000000,,,,,
,,2009/1/13,258.4,258.4,258.4,258.4,100000000,,,,,
,,2009/1/14,254.99,254.99,254.99,254.99,100000000,,,,,
,,2009/1/15,242.11,242.11,242.11,242.11,100000000,,,,,
,,2009/1/16,249.67,249.67,249.67,249.67,100000000,,,,,
,,2009/1/19,249.58,249.58,249.58,249.58,100000000,,,,,
,,2009/1/20,264.92,264.92,264.92,264.92,100000000,,,,,
,,2009/1/21,297.86,297.86,297.86,297.86,100000000,,,,,
,,2009/1/22,298.58,298.58,298.58,298.58,100000000,,,,,
,,2009/1/23,317.76,317.76,317.76,317.76,100000000,,,,,
,,2009/2/2,274.14,274.14,274.14,274.14,100000000,,,,,
,,2009/2/3,278.93,278.93,278.93,278.93,100000000,,,,,
,,2009/2/4,275.58,275.58,275.58,275.58,100000000,,,,,
,,2009/2/5,281.44,281.44,281.44,281.44,100000000,,,,,
,,2009/2/6,274.65,274.65,274.65,274.65,100000000,,,,,
,,2009/2/9,270.38,270.38,270.38,270.38,100000000,,,,,
,,2009/2/10,256.58,256.58,256.58,256.58,100000000,,,,,
,,2009/2/11,245.6,245.6,245.6,245.6,100000000,,,,,
,,2009/2/12,232.18,232.18,232.18,232.18,100000000,,,,,
,,2009/2/13,256.32,256.32,256.32,256.32,100000000,,,,,
,,2009/2/16,256.35,256.35,256.35,256.35,100000000,,,,,
,,2009/2/17,238.75,238.75,238.75,238.75,100000000,,,,,
,,2009/2/18,236.67,236.67,236.67,236.67,100000000,,,,,
,,2009/2/19,269.92,269.92,269.92,269.92,100000000,,,,,
,,2009/2/20,266.18,266.18,266.18,266.18,100000000,,,,,
,,2009/2/23,262.69,262.69,262.69,262.69,100000000,,,,,
,,2009/2/24,273.16,273.16,273.16,273.16,100000000,,,,,
,,2009/2/25,290.53,290.53,290.53,290.53,100000000,,,,,
,,2009/2/26,309.17,309.17,309.17,309.17,100000000,,,,,
,,2009/2/27,306.06,306.06,306.06,306.06,100000000,,,,,
,,2009/3/2,274.58,274.58,274.58,274.58,100000000,,,,,
